1        2 0 0 EHOW Oostwold
100   74.98   3   0 0.25 0 2 0 07   53.19967385  007.02687839    0.00    0.00 2  0 0 0 25   53.20366015  007.04034361    0.00    0.00 2  0 0 0
21   53.20240707  007.03802560  1 243.71   3.00 25  VASI
10   53.28100600  007.03323000 xxx 243.89  1640 0.0 0.0    19 101101  1 0 0 0.25 0
10   53.28074200  007.03736200 xxx 335.00   700 0.0 0.0   165 101101  3 0 0 0.25 0
10   53.27962500  007.03858300 xxx 335.00   300 0.0 0.0   300 101101  3 0 0 0.25 0
10   53.28075600  007.03749800 xxx 335.07  1000 0.0 0.0    19 101101  1 0 0 0.25 0
10   53.27727300  007.03270900 xxx 342.70   700 0.0 0.0   400 101101  3 0 0 0.25 0
10   53.20254300  007.03670500 xxx 243.89  1640 0.0 0.0    19 101101  1 0 0 0.25 0
10   53.20239400  007.04089700 xxx 335.00   700 0.0 0.0   165 101101  3 0 0 0.25 0
10   53.20121300  007.04213300 xxx 335.00   300 0.0 0.0   300 101101  3 0 0 0.25 0
10   53.20231300  007.04098700 xxx 335.07  1000 0.0 0.0    19 101101  1 0 0 0.25 0
10   53.19893900  007.02644300 xxx 342.70   700 0.0 0.0   400 101101  3 0 0 0.25 0
14   53.21099900  007.03499900    0 0 ATC Tower
18   53.21050400  007.03469200 1 BCN
19   53.21300100  007.03499900 1 WS
