1     78 1 0 SADO Campo de Mayo
10 -34.534093  -58.671981 18x 176.900  5950 0160.0000 0000.0000   98 121121 01 0 2 0.00 0 0300.0300 
10 -34.535070  -58.674388 H5x 355.920    52 0000.0000 0000.0000   59 121121 02 0 0 0.00 0 0300.0300 
10 -34.534126  -58.674938 xxx 176.900   543 0000.0000 0000.0000  156 111111 02 0 0 0.25 0 
10 -34.539726  -58.676726 xxx 135.237   342 0000.0000 0000.0000  161 111111 02 0 0 0.25 0 
10 -34.528190  -58.673725 xxx 209.601  1469 0000.0000 0000.0000   50 161161 01 0 0 0.00 0 
10 -34.539968  -58.672959 xxx 331.179  1816 0000.0000 0000.0000   40 161161 01 0 0 0.00 0 
10 -34.535911  -58.674664 xxx 176.900   784 0000.0000 0000.0000   40 161161 01 0 0 0.00 0 
10 -34.538719  -58.675426 xxx  43.815   933 0000.0000 0000.0000   40 161161 01 0 0 0.25 0 
10 -34.534708  -58.673363 xxx 266.900   773 0000.0000 0000.0000   70 161161 01 0 0 0.00 0 
10 -34.537387  -58.674500 xxx 169.357   298 0000.0000 0000.0000   40 161161 01 0 0 0.25 0 
10 -34.530630  -58.674873 xxx 176.900   536 0000.0000 0000.0000   40 161161 01 0 0 0.25 0 
10 -34.533067  -58.674807 xxx 176.900  1310 0000.0000 0000.0000  273 111111 01 0 0 0.25 0 
18 -34.534039  -58.672666 1 BCN
19 -34.542046  -58.672279 0 New Windsock 1
53 12450 Campo de Mayo GND
54 11850 Campo de Mayo TWR AUX
54 12380 Campo de Mayo TWR
