1     2900 0 0 5NE3 Diamond Bar Jones
100   60.96   3   0 0.25 0 0 0 36   41.48777901 -100.50813778    0.00    0.00 0  0 0 0 18   41.49232800 -100.50820138    0.00    0.00 0  0 0 0
110   3 1.00 359.40 New Taxiway 5
112  41.48781776 -100.50724974  41.48790352 -100.50725610 
112  41.48865096 -100.50735719  41.48887002 -100.50738797 
112  41.49002875 -100.50706475  41.49046111 -100.50676462 
112  41.49080123 -100.50698010  41.49092806 -100.50700319 
112  41.49161407 -100.50701858  41.49174666 -100.50701858 
112  41.49221937 -100.50736488  41.49251338 -100.50758805 
112  41.49272091 -100.50894249  41.49265750 -100.50932727 
112  41.49221937 -100.50901944  41.49194266 -100.50898096 
112  41.49156526 -100.50928146  41.49140961 -100.50939690 
112  41.49117902 -100.50957389  41.49101761 -100.50961237 
112  41.49052183 -100.50927377  41.49030277 -100.50918142 
112  41.48971476 -100.50934303  41.48942076 -100.50948924 
111  41.48923052 -100.50934303 
113  41.48776050 -100.50905829 
14   41.48979813 -100.50867117    6 0 New Tower Viewpoint 11
15   41.48937411 -100.50830865 356.15 New Ramp Start 9
19   41.48965044 -100.50867753 0 New Windsock 10
