1       55 0 0 AGGB Bellona/Anua
100   14.94   3   0 1.00 0 0 0 11  -11.30088793  159.79538534    0.00    0.00 0  0 0 0 29  -11.30323685  159.80094733    0.00    0.00 0  0 0 0
110   3 1.00 113.30 New Taxiway 1
111 -11.30056507  159.79536478 
111 -11.30114161  159.79507082 
111 -11.30375941  159.80127591 
111 -11.30358801  159.80142687 
111 -11.30378278  159.80202275 
113 -11.30336986  159.80218165 
14  -11.30163433  159.79781191    6 0 New Tower Viewpoint 3
15  -11.30158834  159.79766870 136.55 New Ramp Start 1
19  -11.30161990  159.79631987 0 New Windsock 2
