1      432 0 0 AU27 Dookie
100   21.95   4   0 0.25 0 0 0 5   -36.29689675  145.74107574    0.00    0.00 0  0 0 0 23  -36.29012923  145.74475099    0.00    0.00 0  0 0 0
110   4 0.25   0.00 New Taxiway 2
111 -36.29673947  145.74105607 
112 -36.29689564  145.74098072 -36.29697373  145.74098072 
112 -36.29701711  145.74109913 -36.29702579  145.74116372 
112 -36.29711255  145.74146513 -36.29714725  145.74157278 
112 -36.29733813  145.74232630 -36.29742489  145.74258466 
111 -36.29762445  145.74285377 
112 -36.29836193  145.74356424 -36.29850943  145.74371495 
112 -36.29876971  145.74381183 -36.29883913  145.74383336 
111 -36.29898662  145.74377954 
111 -36.29896927  145.74396254 
112 -36.29883913  145.74395177 -36.29870898  145.74394101 
112 -36.29841399  145.74379030 -36.29830120  145.74375801 
112 -36.29746828  145.74288607 -36.29718196  145.74259542 
112 -36.29696505  145.74145436 -36.29689564  145.74110989 
113 -36.29682623  145.74122831 
14  -36.29840531  145.74274613    6 0 New Tower Viewpoint 6
15  -36.29701711  145.74134672 309.37 New Ramp Start 5
19  -36.29420600  145.74216483 0 New Windsock 4
