1      220 0 0 EDVR Rinteln
100   10.06   1   0 0.00 0 0 0 11   52.16168210  009.05425202    0.00    0.00 2  0 0 0 29   52.15965916  009.06241320    0.00    0.00 2  0 0 0
100   29.87   3   0 0.00 0 0 0 12   52.16168210  009.05425202    0.00    0.00 0  0 0 0 30   52.15965916  009.06241320    0.00    0.00 0  0 0 0
110   1 0.00   0.00 New Taxiway 3
111  52.16149905  009.05479431 
111  52.16149053  009.05479931 
111  52.16121995  009.05461662 
111  52.16121265  009.05464915 
111  52.16148363  009.05482621 
113  52.16148810  009.05483857 
110   1 0.00   0.00 New Taxiway 2
111  52.15976259  009.06180266 
111  52.15974310  009.06181555 
111  52.15951270  009.06166624 
111  52.15951720  009.06163876 
111  52.15945595  009.06160029 
111  52.15942111  009.06173494 
111  52.15949023  009.06177067 
111  52.15952001  009.06173678 
111  52.15972737  009.06185952 
113  52.15974064  009.06189104 
110   1 0.00   0.00 New Taxiway 1
111  52.15963362  009.06232307 
111  52.15939189  009.06217462 
111  52.15941324  009.06207661 
111  52.15924354  009.06196669 
111  52.15918004  009.06223233 
111  52.15934693  009.06233034 
111  52.15937222  009.06224149 
113  52.15961790  009.06238624 
110   2 0.00 186.75 New Taxiway 5
111  52.16067588  009.06199332 
111  52.16066143  009.06219556 
111  52.16101757  009.06228432 
113  52.16103003  009.06206400 
110   1 0.00   0.00 T Sign area
111  52.16062776  009.06232462 
111  52.16055077  009.06227479 
111  52.16051645  009.06239607 
113  52.16059547  009.06245059 
110   3 0.00   0.00 New Taxiway 4
111  52.16054908  009.05941386 
111  52.16104083  009.05974321 
112  52.16104083  009.05974321  52.16107326  009.05976358 
112  52.16106699  009.06000423  52.16103003  009.06013778 
111  52.16106699  009.06000423 
111  52.16019997  009.06342230 
111  52.16090367  009.06338956 
111  52.16097382  009.06293367 
111  52.16067891  009.06288312 
111  52.16071026  009.06247322 
111  52.16064305  009.06245801 
111  52.16066225  009.06219556 
111  52.16067671  009.06199332 
111  52.16103085  009.06206400 
111  52.16108265  009.06170467 
111  52.16093024  009.06166511 
111  52.16093629  009.06160419 
111  52.16082833  009.06155421 
111  52.16086733  009.06126466 
111  52.16089067  009.06124217 
111  52.16098146  009.06127662 
111  52.16101399  009.06105277 
111  52.16095255  009.06101154 
111  52.16099592  009.06075627 
111  52.16107301  009.06079113 
111  52.16108265  009.06071406 
111  52.16116697  009.06075480 
111  52.16125008  009.06021568 
111  52.16110071  009.06009958 
111  52.16111878  009.06001208 
112  52.16111878  009.06001208  52.16116697  009.05978430 
112  52.16107542  009.05968612  52.16102724  009.05965078 
111  52.16107542  009.05968612 
113  52.16056498  009.05934981 
111  52.16059629  009.06245059 
111  52.16051728  009.06239607 
111  52.16055159  009.06227479 
113  52.16062859  009.06232462 
110   3 0.00 292.00 xxx
111  52.16139749  009.05734807 
111  52.16211677  009.05444593 
111  52.16191331  009.05431193 
113  52.16119403  009.05721407 
110   3 0.00 112.00 xxx
111  52.16061631  009.05951517 
111  52.15989703  009.06241722 
111  52.16010049  009.06255123 
113  52.16081977  009.05964918 
130 Airport Boundary 6
111  52.15912789  009.05794226 
111  52.15829743  009.06358602 
111  52.16090937  009.06340044 
111  52.16184029  009.05714537 
111  52.16285828  009.05522409 
113  52.16293865  009.05169811 
14   52.16068412  009.06238541   16 0 Tower Viewpoint
15   52.16087954  009.06178983 195.07 Grass Apron
19   52.16204596  009.05357375 1 WS
19   52.15932113  009.06252717 1 WS
20   52.16050653  009.05823799 292.04  0 2 {@Y}_1/2_{@@}_1/2_
20   52.16083803  009.05845058 292.67  0 2 {@Y}_1/2_{@@}_1/2_
