1       72 1 0 EGKH Lashenden Headcorn
100   29.87   3   0 0.00 0 1 0 11   51.15762800  000.63644200    0.00    0.00 0  0 0 0 29   51.15585800  000.64837800    0.00    0.00 0  0 0 0
100   20.12   3   0 0.00 0 0 0 03   51.15567236  000.64772609    0.00    0.00 0  0 0 0 21   51.15844477  000.64975065    0.00    0.00 0  0 0 0
110   3 0.00   0.00 Grass
111  51.15726463  000.63328789 
111  51.15551092  000.64534824 
111  51.15445518  000.64496619 
111  51.15425288  000.64638791 
111  51.15438325  000.64670039 
111  51.15518721  000.64717870 
111  51.15573338  000.64833171 
111  51.15750074  000.63640091 
111  51.15765168  000.63646329 
113  51.15814987  000.63286874 
130 Airport Boundary 45
111  51.16091793  000.63137426 
111  51.16067888  000.63152074 
111  51.15546210  000.63419832 
111  51.15532978  000.63451719 
111  51.15530884  000.63634621 
111  51.15538886  000.63887188 
111  51.15536485  000.63956266 
111  51.15508728  000.64134749 
111  51.15486264  000.64214129 
111  51.15423608  000.64349915 
111  51.15375418  000.64475115 
111  51.15311777  000.64616786 
111  51.15262478  000.64737075 
111  51.15232624  000.64813221 
111  51.15206594  000.64885228 
111  51.15276132  000.64995499 
111  51.15379109  000.65126502 
111  51.15344826  000.65191358 
111  51.15541839  000.65423308 
111  51.15593782  000.65321135 
111  51.15663263  000.65356772 
111  51.15684693  000.65367923 
111  51.15697085  000.65403318 
111  51.15714334  000.65514705 
111  51.15744750  000.65603890 
111  51.15756994  000.65601488 
111  51.15790505  000.65595058 
111  51.15805060  000.65590674 
111  51.15828741  000.65594551 
111  51.15842524  000.65585059 
111  51.15857341  000.65585291 
111  51.15865762  000.65595249 
111  51.15889362  000.65612026 
111  51.15895752  000.65598698 
111  51.15896456  000.65580838 
111  51.15892230  000.65543867 
111  51.15897503  000.65528800 
111  51.15904572  000.65518345 
111  51.15916248  000.65507790 
111  51.15920536  000.65491888 
111  51.15920973  000.65460860 
111  51.15907097  000.65426542 
111  51.15896369  000.65405681 
111  51.15895739  000.65388408 
111  51.15896980  000.65354607 
111  51.15898183  000.65293097 
111  51.15898208  000.65265170 
111  51.15901013  000.65244448 
111  51.15908350  000.65224521 
111  51.15917606  000.65199436 
111  51.15929001  000.65173347 
111  51.15931563  000.65143582 
111  51.15927250  000.65115714 
111  51.15918685  000.65097546 
111  51.15907826  000.65084030 
111  51.15896830  000.65075254 
111  51.15890160  000.65055335 
111  51.15889032  000.65022567 
111  51.15895128  000.64987474 
111  51.15908200  000.64959874 
111  51.15911298  000.64951178 
111  51.15907496  000.64940882 
111  51.15895615  000.64928916 
111  51.15884743  000.64913749 
111  51.15874308  000.64895174 
111  51.15872438  000.64872742 
111  51.15878672  000.64839616 
111  51.15898557  000.64786521 
111  51.15901717  000.64770559 
111  51.15899835  000.64750702 
111  51.15895945  000.64732633 
111  51.15889849  000.64722297 
111  51.15870681  000.64714763 
111  51.15860670  000.64709356 
111  51.15824796  000.64682472 
111  51.15802342  000.64643611 
111  51.15781155  000.64567063 
111  51.15771773  000.64557044 
111  51.15755423  000.64519300 
111  51.15751390  000.64488272 
111  51.15756576  000.64470104 
111  51.15783498  000.64434723 
111  51.15823063  000.64390426 
111  51.15836727  000.64373093 
111  51.15849761  000.64348534 
111  51.15853464  000.64326689 
111  51.15857765  000.64302397 
111  51.15871834  000.64237915 
111  51.15890466  000.64200446 
111  51.15896469  000.64178908 
111  51.15894050  000.64156308 
111  51.15887199  000.64142096 
111  51.15876983  000.64128012 
111  51.15858045  000.64110232 
111  51.15849337  000.64094022 
111  51.15842412  000.64052269 
111  51.15846301  000.63965225 
111  51.15847224  000.63915372 
111  51.15856225  000.63867299 
111  51.15865712  000.63849518 
111  51.15895739  000.63821468 
111  51.15906367  000.63803558 
111  51.15906330  000.63757094 
111  51.15910108  000.63726124 
111  51.15919352  000.63707221 
111  51.15942142  000.63679884 
111  51.15971695  000.63656060 
111  51.15988812  000.63651915 
111  51.15998044  000.63643119 
111  51.16005150  000.63628667 
111  51.16004870  000.63612069 
111  51.15997969  000.63596674 
111  51.15987366  000.63572065 
111  51.15977405  000.63526722 
111  51.15971913  000.63487115 
111  51.15974780  000.63452636 
111  51.15982286  000.63422729 
111  51.15991617  000.63398249 
111  51.15993793  000.63374425 
111  51.15991362  000.63354249 
111  51.15993487  000.63331816 
111  51.16001466  000.63315874 
111  51.16012539  000.63306260 
111  51.16028175  000.63303375 
111  51.16045509  000.63296744 
111  51.16057823  000.63285250 
111  51.16063898  000.63267513 
111  51.16065654  000.63236556 
111  51.16060680  000.63209691 
111  51.16058931  000.63190688 
111  51.16065764  000.63170976 
111  51.16071470  000.63163107 
111  51.16093859  000.63151805 
113  51.16094528  000.63142677 
14   51.15381104  000.64515882   30 0 Tower
15   51.15505643  000.64560771 279.28 Grass Parking
18   51.15461147  000.64818114 1 BCN
19   51.15422485  000.64518116 0 WS
54 12200 Lashenden Radio
