1     1158 1 0 ELLX Luxembourg
100   60.05   1   0 0.00 1 3 0 06   49.61761388  006.18749852  106.99    0.00 3  2 0 1 24   49.63547288  006.23559852  106.99    0.00 3  2 1 1
102 H1   49.63124475  006.21661217 335.00   27.13   27.13   2 0   0 0.00 1
21   49.61906902  006.18996176  2  60.16   3.00 06  PAPI-4L
21   49.63368901  006.23224398  2 240.20   3.00 24  PAPI-4L
110   2 0.00 150.20 xxx
111  49.64337858  006.22648789 
111  49.64084973  006.21961249 
111  49.63461468  006.22518332 
113  49.63714362  006.23205903 
110   1 0.00 150.20 xxx
111  49.63469487  006.22540044 
112  49.63469487  006.22540044  49.63409115  006.22593765 
111  49.63385425  006.22530491 
111  49.63545579  006.22965372 
112  49.63545579  006.22965372  49.63521487  006.22899950 
113  49.63579923  006.22840828 
110   1 0.00 150.20 xxx
111  49.61967409  006.18777756 
112  49.61901800  006.18670783  49.61857993  006.18612572 
111  49.61901800  006.18670783 
112  49.61901800  006.18670783  49.61857933  006.18614851 
111  49.61841335  006.18603995 
111  49.61795098  006.18645166 
111  49.61784876  006.18729157 
111  49.61822651  006.18831199 
112  49.61844560  006.18737035  49.61890189  006.18707157 
111  49.61844560  006.18737035 
112  49.61844560  006.18737035  49.61874426  006.18717401 
111  49.61894936  006.18724906 
112  49.61894936  006.18724906  49.61918648  006.18727651 
113  49.61946030  006.18796810 
110   1 0.00  21.20 xxx
111  49.61477311  006.19817598 
111  49.61460448  006.19884705 
111  49.62347007  006.20410923 
113  49.62314378  006.20323173 
110   1 0.00 150.20 xxx
111  49.62493321  006.20209581 
111  49.62507209  006.20273472 
111  49.62421059  006.20349528 
112  49.62421059  006.20349528  49.62394315  006.20370872 
111  49.62372644  006.20312290 
111  49.62392443  006.20365610 
111  49.62457802  006.20404464 
112  49.62457802  006.20404464  49.62428731  006.20387092 
111  49.62453240  006.20365094 
111  49.62527116  006.20301556 
113  49.62565053  006.20318970 
110   1 0.00 270.00 xxx
111  49.62542826  006.20529483 
111  49.62578267  006.20591599 
111  49.62584241  006.20839461 
111  49.62573813  006.20854087 
111  49.62635927  006.21021474 
112  49.62635927  006.21021474  49.62613171  006.20959132 
111  49.62611854  006.20921274 
111  49.62608291  006.20656585 
112  49.62608291  006.20656585  49.62607533  006.20567409 
113  49.62665242  006.20600716 
110   1 0.00  28.42 xxx
111  49.62953559  006.21244162 
112  49.62953559  006.21244162  49.62981393  006.21335608 
111  49.62931076  006.21291941 
111  49.62635927  006.21021474 
111  49.62707454  006.21214037 
112  49.62707454  006.21214037  49.62679475  006.21138963 
111  49.62747969  006.21194856 
111  49.62970592  006.21389046 
112  49.62970592  006.21389046  49.63007517  006.21420862 
113  49.63013008  006.21438558 
110   1 0.00 150.20 xxx
111  49.63135004  006.21837480 
112  49.63135004  006.21837480  49.63143872  006.21866510 
111  49.63123326  006.21884267 
111  49.63016372  006.21977681 
112  49.63016372  006.21977681  49.62997218  006.21994395 
111  49.62986646  006.21965993 
111  49.63031125  006.22085786 
112  49.63031125  006.22085786  49.63020693  006.22057645 
111  49.63038918  006.22040662 
111  49.63143934  006.21948416 
112  49.63143934  006.21948416  49.63163821  006.21931606 
113  49.63173392  006.21962997 
110   1 0.00  60.20 xxx
111  49.63559461  006.23462509 
112  49.63559461  006.23462509  49.63546524  006.23473753 
111  49.63539867  006.23455986 
111  49.63570729  006.23539107 
111  49.63709006  006.23486979 
111  49.63651186  006.23329734 
112  49.63651186  006.23329734  49.63664211  006.23365192 
113  49.63640776  006.23388302 
110   1 0.00 152.00 xxx
111  49.61513982  006.19839604 
111  49.61544294  006.19858065 
111  49.62002274  006.19482507 
113  49.61990038  006.19449555 
110   1 0.00 152.00 xxx
111  49.62064966  006.19385673 
111  49.62019906  006.19362320 
111  49.62066796  006.19488568 
111  49.62077272  006.19421038 
111  49.62129796  006.19377647 
111  49.62171450  006.19399494 
111  49.62125183  006.19275798 
113  49.62118574  006.19342952 
110   1 0.00  44.80 xxx
111  49.62477698  006.20089360 
111  49.62831354  006.20644280 
111  49.62842959  006.20635710 
113  49.62482993  006.20075629 
110   1 0.00  60.00 xxx
111  49.61980146  006.18768479 
111  49.62477698  006.20089360 
111  49.62482993  006.20075629 
113  49.61990377  006.18759199 
110   1 0.00  60.00 xxx
111  49.61946030  006.18796810 
111  49.62449367  006.20142550 
111  49.62470746  006.20123496 
113  49.61967409  006.18777756 
110   1 0.00  60.20 xxx
111  49.63295644  006.22362779 
111  49.63709006  006.23486979 
111  49.63730471  006.23468151 
113  49.63317957  006.22346473 
110   2 0.00  64.00 xxx
111  49.63041307  006.21445153 
111  49.63231692  006.22065407 
111  49.63457414  006.21897900 
113  49.63267517  006.21277377 
110   2 0.00  64.00 xxx
111  49.62802208  006.20666006 
111  49.63020166  006.21376437 
111  49.63177894  006.21259174 
113  49.62960378  006.20548274 
110   1 0.00  44.80 xxx
111  49.62449367  006.20142550 
111  49.62727662  006.20567039 
111  49.62786543  006.20698011 
111  49.62780059  006.20593892 
113  49.62470746  006.20123496 
110   2 0.00  56.00 xxx
111  49.62343322  006.19452252 
111  49.62368890  006.19512883 
111  49.62315115  006.19568788 
111  49.62468500  006.19919830 
111  49.62592930  006.19792589 
113  49.62413189  006.19379922 
110   2 0.00 120.00 xxx
111  49.62552797  006.19844092 
111  49.62484223  006.20027448 
111  49.62591434  006.20121757 
113  49.62660025  006.19939341 
110   1 0.00  21.20 xxx
111  49.62448607  006.20516885 
112  49.62448607  006.20516885  49.62431948  006.20472021 
111  49.62458579  006.20480459 
111  49.62743652  006.20646355 
112  49.62743652  006.20646355  49.62771334  006.20664200 
111  49.62786543  006.20698011 
111  49.62727662  006.20567039 
111  49.62691678  006.20512179 
112  49.62691678  006.20512179  49.62697729  006.20521419 
112  49.62693640  006.20532978  49.62689551  006.20544537 
111  49.62693640  006.20532978 
112  49.62693640  006.20532978  49.62689904  006.20544015 
111  49.62684096  006.20540969 
113  49.62392443  006.20365610 
110   1 0.00  64.00 xxx
111  49.62786543  006.20698011 
111  49.63295644  006.22362779 
111  49.63317957  006.22346473 
113  49.62780059  006.20593892 
110   1 0.00 146.00 xxx
111  49.62315115  006.19568788 
111  49.62283510  006.19600299 
111  49.62274210  006.19598030 
111  49.62295732  006.19655577 
111  49.62299435  006.19641973 
113  49.62332047  006.19607560 
110   1 0.00 120.00 xxx
111  49.62484223  006.20027448 
111  49.62469071  006.20066505 
112  49.62469071  006.20066505  49.62459165  006.20092340 
111  49.62448929  006.20065148 
111  49.62470746  006.20123496 
111  49.62486270  006.20147159 
112  49.62486270  006.20147159  49.62476771  006.20132753 
111  49.62487112  006.20104191 
113  49.62508111  006.20048483 
110   1 0.00 146.00 xxx
111  49.62386173  006.19731410 
111  49.62347978  006.19771757 
111  49.62337919  006.19768370 
111  49.62365016  006.19840814 
111  49.62368285  006.19825207 
113  49.62407646  006.19780559 
130 Airport Boundary 7
111  49.64489790  006.22747026 
111  49.64179427  006.21648635 
111  49.63633375  006.22037574 
111  49.63089656  006.20283749 
111  49.62802629  006.19880406 
111  49.62508601  006.19077320 
111  49.62314915  006.19174554 
111  49.61997552  006.18292240 
111  49.61537841  006.18706388 
111  49.61743194  006.19311403 
111  49.61435165  006.19574297 
111  49.61318487  006.20042463 
111  49.62282246  006.20651080 
111  49.63498028  006.23877829 
113  49.63904067  006.23488890 
120 Road Broken White
111  49.62837197  006.20638981  22 
111  49.62481560  006.20084541  22 
112  49.62480309  006.20082565  49.62479989  006.20081913 
111  49.62480309  006.20082565 
112  49.62480309  006.20082565  49.62479965  006.20081827  22 
111  49.62479313  006.20080062  22 
115  49.61985250  006.18764241 
120 Main Taxiline
111  49.63698572  006.23421518  51 101 
111  49.63306838  006.22354653  51 101 
111  49.62791795  006.20673499 
112  49.62791795  006.20673499  49.62768807  006.20607019  51 101 
111  49.62700744  006.20499865  51 101 
111  49.62479482  006.20163181 
112  49.62479482  006.20163181  49.62460207  006.20132587  51 101 
111  49.62437678  006.20075031  51 101 
115  49.61956319  006.18787666 
120 ILS Hold 24
111  49.63643152  006.23230825  56 104 
115  49.63621912  006.23250109 
120 ILS Hold 06
111  49.61946030  006.18796810  56 104 
115  49.61967409  006.18777756 
120 Rwy Hold Twy C
111  49.63092986  006.21992896  54 104 
115  49.63070133  006.21931125 
120 Rwy Hold Twy D1
111  49.62797970  006.21238468  54 104 
115  49.62816556  006.21187081 
120 Rwy Hold Twy D2
111  49.62609104  006.20719776  54 104 
115  49.62581290  006.20720999 
120 Rwy Hold Twy E
111  49.62501392  006.20505420  54 104 
115  49.62517447  006.20440546 
120 Rwy Hold Twy F
111  49.62477795  006.20343994  54 104 
115  49.62465464  006.20310348 
120 Rwy Hold Twy G
111  49.62104033  006.19399010  54 104 
115  49.62091948  006.19364265 
120 Linear Feature 7
111  49.62315115  006.19568788  53 102 
115  49.62299265  006.19584560 
120 Linear Feature 6
111  49.62314720  006.19625844  53 102 
115  49.62332047  006.19607560 
120 Linear Feature 5
111  49.62383031  006.19808497  53 102 
115  49.62407646  006.19780559 
120 Linear Feature 4
111  49.62386173  006.19731410  53 102 
115  49.62363248  006.19755593 
120 Linear Feature 2
111  49.62484223  006.20027448  53 102 
115  49.62474444  006.20052668 
120 Linear Feature 1
111  49.62492093  006.20091061  53 102 
115  49.62508111  006.20048483 
120 Linear Feature 1
111  49.62306417  006.19634626  55 103 
115  49.62314720  006.19625844 
120 Linear Feature 1
111  49.62375262  006.19817325  55 103 
115  49.62383031  006.19808497 
120 Linear Feature 1
111  49.62487112  006.20104191  55 103 
115  49.62492093  006.20091061 
120 Linear Feature 1
111  49.62474444  006.20052668  55 103 
115  49.62469071  006.20066505 
120 Linear Feature 1
111  49.62363248  006.19755593  55 103 
115  49.62355157  006.19764162 
120 Linear Feature 1
111  49.62299265  006.19584560  55 103 
115  49.62290757  006.19593015 
120 Linear Feature 3
111  49.62372888  006.19585621  51 101 
115  49.62399712  006.19647276 
120 Linear Feature 2
112  49.62447335  006.19757982  49.62431483  006.19721260  51 101 
115  49.62410100  006.19743649 
120 Linear Feature 1
111  49.62415338  006.19683575  51 101 
115  49.62493754  006.19865931 
120 Linear Feature 2
112  49.62477698  006.20089360  49.62461963  006.20130723  51 101 
115  49.62478717  006.20161957 
120 Linear Feature 1
111  49.62557344  006.19882010  51 101 
111  49.62477698  006.20089360 
112  49.62477698  006.20089360  49.62461963  006.20130723  51 101 
115  49.62438160  006.20076247 
120 Linear Feature 2
112  49.63191515  006.21712951  49.63210733  006.21698422  51 101 
115  49.63219551  006.21727219 
120 Linear Feature 1
111  49.63131112  006.21920903  51 101 
111  49.63182037  006.21875283 
112  49.63182037  006.21875283  49.63206866  006.21853224  51 101 
111  49.63195069  006.21816294  51 101 
111  49.63182333  006.21775597 
112  49.63182333  006.21775597  49.63168459  006.21730399  51 101 
111  49.63191515  006.21712951 
112  49.63191515  006.21712951  49.63210733  006.21698422  51 101 
115  49.63200928  006.21666713 
120 Linear Feature 4
111  49.61996351  006.19466727  51 101 
111  49.61541592  006.19840414  51 101 
112  49.61527131  006.19858697  49.61526049  006.19866334 
111  49.61527131  006.19858697 
112  49.61527131  006.19858697  49.61523420  006.19886619  51 101 
111  49.61538141  006.19895707  51 101 
115  49.62330207  006.20365477 
120 Linear Feature 3
111  49.62314378  006.20323173  53 102 
111  49.61544294  006.19858065  53 102 
115  49.62002274  006.19482507 
120 Linear Feature 1
111  49.61990038  006.19449555  53 102 
111  49.61513982  006.19839604  53 102 
111  49.61477311  006.19817598  53 102 
111  49.61460448  006.19884705  53 102 
115  49.62347007  006.20410923 
120 Linear Feature 3
111  49.62332047  006.19607560   3 102 
115  49.62386173  006.19731410 
120 Linear Feature 2
111  49.62407646  006.19780559   3 102 
111  49.62468500  006.19919830   3 102 
