1      896 1 1 LOAN WIENER NEUSTADT Ost
100   22.86   1   0 0.25 0 3 0 10   47.84388900  016.25305600    0.00  160.02 2  0 0 0 28   47.84277800  016.26722200    0.00  160.02 2  7 0 0
21   47.84397909  016.25577162  2  96.66   3.00 10  PAPI-4L
21   47.84268825  016.26450641  2 276.67   3.00 28  PAPI-4L
10   47.84328080  016.26648520 xxx   5.00   300 0.0 0.0    50 101101  1 0 0 0.25 0
10   47.84192660  016.25705910 xxx  96.68   320 0.0 0.0    40 101101  1 0 0 0.25 0
10   47.84247210  016.25527380 xxx  96.68   300 0.0 0.0    70 101101  1 0 0 0.25 0
10   47.84526060  016.24776460 xxx   6.69   340 0.0 0.0    50 101101  1 0 0 0.25 0
10   47.84396360  016.25083160 xxx   6.69   540 0.0 0.0    50 101101  1 0 0 0.25 0
10   47.84573750  016.24870490 xxx  96.68   565 0.0 0.0    70 101101  1 0 0 0.25 0
10   47.84296420  016.25051500 xxx  96.68   620 0.0 0.0    30 101101  1 0 0 0.25 0
10   47.84485240  016.24979210 xxx  96.68  1050 0.0 0.0    50 101101  1 0 0 0.25 0
10   47.84258270  016.25549510 xxx  96.68  1140 0.0 0.0    30 101101  1 0 0 0.25 0
10   47.84288790  016.25355910 xxx  96.69  2110 0.0 0.0   100 101101  1 0 0 0.25 0
10   47.84417340  016.25924490 xxx  96.67  3600 0.0 0.0    50 101101  1 0 0 0.25 0
10   47.84323500  016.25543980 xxx   6.67   275 0.0 0.0    50 101101  1 0 0 0.25 0
10   47.84577940  016.24980160 xxx  96.68    70 0.0 0.0    30 101101  1 0 0 0.25 0
10   47.84565350  016.24765010 xxx   6.68    63 0.0 0.0    40 101101  1 0 0 0.25 0
10   47.84471510  016.25193980 xxx  54.00    55 0.0 0.0    50 101101  1 0 0 0.25 0
10   47.84552000  016.24760250 xxx  96.68    56 0.0 0.0    50 101101  1 0 0 0.25 0
10   47.84215550  016.25767520 xxx   6.68   165 0.0 0.0    40 101101  1 0 0 0.25 0
10   47.84526060  016.24967960 xxx   6.68   240 0.0 0.0    50 101101  1 0 0 0.25 0
14   47.84518810  016.25003620    0 0 ATC Tower
15   47.84283070  016.25480650  96.00 Ramp
18   47.84404803  016.26025976 1 BCN
19   47.84421800  016.25280464 1 WS
19   47.84244897  016.26747327 1 WS
54 12265 AFIS
54 12440 WIEN CNTR
55 12820 WIEN APP
