1     1490 0 0 NE37 Loseke Airstrip
100   17.98   3   0 0.25 0 0 0 09   41.47001687 -097.27178482    0.00    0.00 0  0 0 0 27   41.47000500 -097.26713100    0.00    0.00 0  0 0 0
110   3 1.00   0.00 New Taxiway 19
111  41.46995050 -097.27179105 
111  41.46963184 -097.27179105 
112  41.46965652 -097.27136877  41.46969467 -097.27134181 
113  41.46995275 -097.27127593 
14   41.46991460 -097.27136577    6 0 New Tower Viewpoint 48
15   41.46987196 -097.27142268 334.74 New Ramp Start 47
19   41.46990562 -097.27115014 0 New Windsock 49
