1       10 0 0 NGON Onotoa
100   24.08   3   0 1.00 0 0 0 13  -01.79330536  175.52311569    0.00    0.00 0  0 0 0 31  -01.79916840  175.52898161    0.00    0.00 0  0 0 0
110   3 1.00 135.00 New Taxiway 5
111 -01.79879152  175.52810708 
112 -01.79900346  175.52793191 -01.79905875  175.52783050 
112 -01.79914168  175.52803332 -01.79914168  175.52810708 
112 -01.79927069  175.52833756 -01.79927069  175.52838366 
111 -01.79922462  175.52869712 
112 -01.79970379  175.52916731 -01.79977751  175.52923184 
112 -01.79951028  175.52943467 -01.79932598  175.52946232 
112 -01.79902189  175.52928716 -01.79894817  175.52919496 
111 -01.79810962  175.52848507 
111 -01.79294009  175.52332223 
112 -01.79332711  175.52263078 -01.79353905  175.52249249 
113 -01.79374178  175.52289814 
14  -01.79893694  175.52816468    6 0 New Tower Viewpoint 26
15  -01.79883967  175.52824482 138.95 New Ramp Start 24
19  -01.79917153  175.52857684 0 New Windsock 25
