1       10 0 0 NGTO Nonouti
100   24.08   3   0 1.00 0 0 0 09  -00.63959773  174.42411036    0.00    0.00 0  0 0 0 27  -00.63975943  174.43183008    0.00    0.00 0  0 0 0
110   3 1.00  91.00 New Taxiway 4
111 -00.63924733  174.42460899 
112 -00.63923424  174.42443355 -00.63921422  174.42442687 
112 -00.63929813  174.42407523 -00.63939822  174.42396846 
112 -00.63977600  174.42404155 -00.63992280  174.42405490 
112 -00.63988022  174.42433417 -00.63989357  174.42442092 
111 -00.64004884  174.42787931 
112 -00.64009555  174.42801277 -00.64015560  174.42803279 
112 -00.64030240  174.42809285 -00.64027571  174.42821964 
112 -00.64018229  174.42829972 -00.64016228  174.42842651 
111 -00.64005707  174.43096234 
112 -00.64008937  174.43146296 -00.64011359  174.43155985 
112 -00.64006997  174.43167412 -00.64006997  174.43182753 
112 -00.63992737  174.43201955 -00.63984663  174.43204378 
112 -00.63946019  174.43166257 -00.63946019  174.43158183 
114 -00.63944833  174.43128552 -00.63944026  174.43124515 
14  -00.64000540  174.42893958    6 0 New Tower Viewpoint 22
15  -00.63996819  174.42807577  88.62 New Ramp Start 20
19  -00.63993922  174.42765458 0 New Windsock 21
