1     3099 1 1 SANO CHILECITO
100   33.83   1   0 0.25 0 0 0 17  -29.21452700 -067.44008300    0.00    0.00 2  0 0 0 35  -29.23333400 -067.43747200    0.00    0.00 2  0 0 0
110   1 0.30 173.09 Default taxiway for RWY 17
111 -29.21454504 -067.44025360   3 
111 -29.21463686 -067.44112194   3 
111 -29.23344389 -067.43851161   3 
111 -29.23335207 -067.43764311 
112 -29.23304980 -067.43768506 -29.23320120 -067.43766665   3 
111 -29.23322317 -067.43787447   3 
112 -29.23325247 -067.43815157 -29.23327444 -067.43835940   3 
111 -29.23312331 -067.43838037   3 
111 -29.22409763 -067.43963311   3 
111 -29.22402412 -067.43893786 
111 -29.22387299 -067.43895884   3 
111 -29.22394650 -067.43965409   3 
112 -29.21492081 -067.44090682 -29.21476968 -067.44092780   3 
111 -29.21474771 -067.44072001   3 
112 -29.21471841 -067.44044296 -29.21469644 -067.44023518   3 
113 -29.21484730 -067.44021164 
120 Default hold RWY 17 (near)
111 -29.21458193 -067.44060247   4 
115 -29.21473306 -067.44058149 
120 Default hold RWY 17 (centre)
111 -29.22390988 -067.43930775   4 
115 -29.22406101 -067.43928677 
120 Default hold RWY 17 (far)
111 -29.23323782 -067.43801302   4 
115 -29.23338896 -067.43799204 
19  -29.21416998 -067.43960705 1 WS
19  -29.23369103 -067.43794803 1 WS
