1     1575 1 1 SBLN LINS
100   32.00   1   0 0.25 0 1 0 14  -21.65939400 -049.73718100    0.00    0.00 2  0 0 0 32  -21.66868300 -049.72385800    0.00    0.00 2  0 0 0
110   1 0.30 126.88 Default taxiway for RWY 14
111 -21.65950739 -049.73727254   3 102 
111 -21.66008514 -049.73773894   3 102 
111 -21.66937467 -049.72441683   3 102 
111 -21.66879692 -049.72395040 
112 -21.66862407 -049.72419828 -21.66871230 -049.72407580   3 102 
111 -21.66885053 -049.72418739   3 102 
112 -21.66903483 -049.72433618 -21.66917306 -049.72444778   3 102 
111 -21.66908663 -049.72457172   3 102 
111 -21.66465793 -049.73092292   3 102 
111 -21.66419537 -049.73054950 
111 -21.66410894 -049.73067344   3 102 
111 -21.66457150 -049.73104686   3 102 
112 -21.66014280 -049.73739807 -21.66005637 -049.73752201   3 102 
111 -21.65991814 -049.73741042   3 102 
112 -21.65973384 -049.73726164 -21.65959561 -049.73715005   3 102 
113 -21.65968024 -049.73702466 
120 Default hold RWY 14 (near)
111 -21.65973957 -049.73745997   4 
115 -21.65982599 -049.73733603 
120 Default hold RWY 14 (centre)
111 -21.66434112 -049.73086088   4 
115 -21.66442755 -049.73073694 
120 Default hold RWY 14 (far)
111 -21.66894268 -049.72426179   4 
115 -21.66902910 -049.72413785 
18  -21.66323262 -049.72987118 1 BCN
19  -21.65887668 -049.73715080 1 WS
19  -21.66920033 -049.72388816 1 WS
54 13000 RDO
