1      139 1 0 SCCI Carlos Ibanez Del Campo Intl
100   45.11   1   0 0.25 0 3 1 07  -53.00115800 -070.87534400    0.00  230.12 2  0 0 1 25  -53.00061900 -070.83378900    0.00   57.91 3  1 0 0
100   45.11   1   0 0.25 0 3 1 12  -52.99754400 -070.86869400    0.00   57.91 2  0 0 1 30  -53.01378600 -070.84516700    0.00   57.91 2 10 0 0
100   45.11   1   0 0.25 0 3 1 01  -53.00800600 -070.85499400    0.00    0.00 2  0 0 0 19  -52.99478900 -070.84297800    0.00    0.00 2  0 0 0
21  -53.00071887 -070.87236805  2  88.78   3.00 07  PAPI-4L
21  -53.00107675 -070.83810182  2 268.75   3.00 25  PAPI-4L
21  -53.01269291 -070.84763541  2 318.91   3.00 30  PAPI-4L
10  -53.00207500 -070.84743500 xxx  88.77  6300 0.0 0.0   120 161161  1 0 0 0.35 0
10  -53.00346800 -070.84420800 xxx  88.77  1200 0.0 0.0   500 161161  1 0 0 0.35 0
10  -53.00203700 -070.84732100 xxx 140.00   850 0.0 0.0   120 161161  1 0 0 0.35 0
10  -53.00299500 -070.84862500 xxx  90.00   801 0.0 0.0   120 161161  1 0 0 0.35 0
10  -53.00139200 -070.83322900 xxx 178.77   500 0.0 0.0   120 161161  1 0 0 0.35 0
10  -53.00250200 -070.84333800 xxx   0.00   401 0.0 0.0   120 161161  1 0 0 0.35 0
10  -53.00164800 -070.87802100 xxx 178.77   201 0.0 0.0   300 161161  1 0 0 0.35 0
10  -53.01245500 -070.84605400 xxx 228.92   200 0.0 0.0   300 161161  1 0 0 0.35 0
10  -52.99539600 -070.84265900 xxx 118.68   200 0.0 0.0   300 161161  1 0 0 0.35 0
14  -52.99988900 -070.85456800    0 0 ATC Tower
15  -53.00357400 -070.84471100 180.00 Ramp
18  -53.00007600 -070.85459100 1 BCN
19  -53.00034300 -070.87537400 1 WS
19  -53.00143100 -070.83376300 1 WS
19  -52.99700900 -070.86768300 1 WS
19  -53.01432000 -070.84618400 1 WS
19  -53.00761400 -070.85617800 1 WS
19  -52.99517400 -070.84178900 1 WS
53 12190 GND
54 11870 PUNTA ARENAS TWR
55 12810 PUNTA ARENAS APP
55 12390 PUNTA ARENAS APP
