1      335 0 1 SDCG SENADORA EUNICE MICHILES
100   22.86   2   0 0.25 0 0 0 04  -03.47404700 -068.96119400    0.00    0.00 2  0 0 0 22  -03.46484200 -068.95547200    0.00    0.00 2  0 0 0
110   2 0.30  31.82 Default taxiway for RWY 04
111 -03.47410005 -068.96110835  53 
111 -03.47437239 -068.96066861  53 
111 -03.46516741 -068.95494656  53 
111 -03.46489507 -068.95538629 
112 -03.46506987 -068.95549496 -03.46498365 -068.95543872  53 
111 -03.46504873 -068.95533364  53 
112 -03.46513550 -068.95519354 -03.46520058 -068.95508846  53 
111 -03.46528798 -068.95514279  53 
111 -03.46967197 -068.95786799  53 
111 -03.46945386 -068.95822016 
111 -03.46954126 -068.95827449  53 
111 -03.46975937 -068.95792232  53 
112 -03.47414335 -068.96064752 -03.47423076 -068.96070185  53 
111 -03.47416568 -068.96080693  53 
112 -03.47407891 -068.96094703 -03.47401383 -068.96105211  53 
113 -03.47392524 -068.96099969 
120 Default hold RWY 04 (near)
111 -03.47420970 -068.96093131  54 
115 -03.47412230 -068.96087698 
120 Default hold RWY 04 (centre)
111 -03.46965091 -068.95809745  54 
115 -03.46956351 -068.95804312 
120 Default hold RWY 04 (far)
111 -03.46509212 -068.95526359  54 
115 -03.46500472 -068.95520925 
19  -03.47405984 -068.96156419 1 WS
19  -03.46482916 -068.95510182 1 WS
