1       75 1 1 SFAL STANLEY
100   19.20   1   0 0.25 0 0 0 09  -51.68596900 -057.78035800   62.79    0.00 2  0 0 0 27  -51.68589400 -057.76708300    0.00    0.00 2  0 0 0
100   12.80   1   0 0.25 0 0 0 18  -51.68402800 -057.78156700    0.00    0.00 2  0 0 0 36  -51.68706900 -057.78156700    0.00    0.00 2  0 0 0
110   1 0.30  89.48 Default taxiway for RWY 09
111 -51.68605315 -057.78035678   3 
111 -51.68648740 -057.78035046   3 
111 -51.68641315 -057.76707544   3 
111 -51.68597890 -057.76708176 
112 -51.68598046 -057.76736048 -51.68598193 -057.76722108   3 
111 -51.68608561 -057.76721957   3 
112 -51.68622385 -057.76721756 -51.68632753 -057.76721605   3 
111 -51.68632831 -057.76735541   3 
111 -51.68636348 -057.77364452   3 
111 -51.68601563 -057.77364959 
111 -51.68601641 -057.77378895   3 
111 -51.68636426 -057.77378388   3 
112 -51.68639944 -057.78007299 -51.68640022 -057.78021235   3 
111 -51.68629654 -057.78021386   3 
112 -51.68615830 -057.78021587 -51.68605462 -057.78021738   3 
113 -51.68605159 -057.78007806 
120 Default hold RWY 09 (near)
111 -51.68622820 -057.78035423   4 
115 -51.68622742 -057.78021487 
120 Default hold RWY 09 (centre)
111 -51.68619146 -057.77378640   4 
115 -51.68619068 -057.77364704 
120 Default hold RWY 09 (far)
111 -51.68615473 -057.76721857   4 
115 -51.68615395 -057.76707921 
19  -51.68571273 -057.78064047 1 WS
19  -51.68391279 -057.78128828 1 WS
19  -51.68615024 -057.76680045 1 WS
19  -51.68718421 -057.78184574 1 WS
54 11810 TWR
