1        1 0 0 WAKO Okaba (DGAC)
100   29.87   3   0 0.00 0 0 0 09  -08.09469426  139.72116348    0.00    0.00 0  0 0 0 27  -08.09441174  139.72660851    0.00    0.00 0  0 0 0
130 Boundary
111 -08.09503863  139.72083189 
111 -08.09538428  139.72215249 
111 -08.09497852  139.72313914 
111 -08.09472303  139.72679733 
111 -08.09451264  139.72748039 
111 -08.09409184  139.72735896 
111 -08.09413693  139.72538566 
111 -08.09428721  139.72212213 
111 -08.09416699  139.72118102 
113 -08.09452767  139.72057385 
14  -08.09424067  139.72155002    6 0 Viewpoint
15  -08.09467795  139.72142388  87.00 Okaba Start
19  -08.09496865  139.72205655 0 Windsock
