1       25 0 0 WIU  Witu
100   53.95   3   0 1.00 0 0 0 15  -05.54775350  149.18689323    0.00    0.00 0  0 0 0 33  -05.55675159  149.19093724    0.00    0.00 0  0 0 0
110   3 0.25 155.90 New Taxiway 2
112 -05.55720832  149.19066651 -05.55722122  149.19077022 
112 -05.55702768  149.19128876 -05.55697607  149.19152210 
112 -05.55661479  149.19175544 -05.55651157  149.19172951 
112 -05.55489873  149.19101653 -05.55461487  149.19089986 
112 -05.55278269  149.19010909 -05.55257624  149.19003131 
112 -05.55095050  149.18942203 -05.55053762  149.18927943 
112 -05.54760870  149.18859237 -05.54727323  149.18854052 
112 -05.54700227  149.18750344 -05.54698937  149.18706269 
112 -05.54755709  149.18660897 -05.54760870  149.18646637 
112 -05.54737645  149.18603858 -05.54724743  149.18587006 
112 -05.54785385  149.18587006 -05.54794417  149.18587006 
112 -05.54829255  149.18620710 -05.54851189  149.18622007 
112 -05.54914412  149.18646637 -05.54932476  149.18666082 
112 -05.55168596  149.18738677 -05.55229238  149.18751641 
112 -05.55242141  149.18808680 -05.55249883  149.18822939 
112 -05.55358266  149.18842385 -05.55384071  149.18852755 
112 -05.55501486  149.18917572 -05.55518259  149.18934425 
113 -05.55684704  149.19054984 
14  -05.54793127  149.18637563    6 0 New Tower Viewpoint 17
15  -05.54816352  149.18650526  77.91 New Ramp Start 16
19  -05.54800869  149.18762011 0 New Windsock 18
50 12770 WIU AWOS
