1     6210 0 0 WY39 Star Valley Ranch
100   17.98   5   0 0.25 0 0 0 15   42.97580213 -110.96770592    0.00    0.00 0  0 0 0 33   42.96229608 -110.96320637    0.00    0.00 0  0 0 0
110   5 0.25 166.30 New Taxiway 28
111  42.97581631 -110.96759433 
112  42.97623323 -110.96784032  42.97630280 -110.96789380 
112  42.97675064 -110.96813745  42.97691586 -110.96817904 
112  42.97720283 -110.96821470  42.97731588 -110.96825630 
112  42.97805277 -110.96874735  42.97824886 -110.96893692 
111  42.97827756 -110.96903497 
112  42.97813886 -110.96928991  42.97799059 -110.96928991 
112  42.97719665 -110.96899575  42.97706273 -110.96891731 
112  42.97675185 -110.96868852  42.97658923 -110.96848587 
112  42.97608704 -110.96800868  42.97601530 -110.96793024 
114  42.97577646 -110.96780606  42.97570360 -110.96776907 
14   42.97723560 -110.96893304    6 0 New Tower Viewpoint 37
15   42.97712490 -110.96887769  81.77 New Ramp Start 36
19   42.97747834 -110.96902361 0 New Windsock 38
