1       19 0 0 YBBH BIRRI BEACH
100   35.05   4   0 0.25 0 0 0 6   -16.48432455  139.28185313    0.00    0.00 0  0 0 0 24  -16.47896209  139.29230770    0.00    0.00 0  0 0 0
110   3 0.25   0.00 New Taxiway 7
111 -16.47921021  139.29207196 
112 -16.47921021  139.29238062 -16.47921021  139.29247559 
112 -16.47905083  139.29266554 -16.47900530  139.29273677 
112 -16.47877762  139.29280800 -16.47868654  139.29280800 
112 -16.47843609  139.29271302 -16.47829949  139.29264179 
112 -16.47825395  139.29240436 -16.47823118  139.29235688 
112 -16.47827672  139.29223816 -16.47834502  139.29216693 
112 -16.47861824  139.29197699 -16.47870931  139.29188202 
112 -16.47891422  139.29171581 -16.47893699  139.29169207 
113 -16.47921021  139.29154961 
14  -16.47852717  139.29268928    6 0 New Tower Viewpoint 23
15  -16.47857270  139.29233313 217.22 New Ramp Start 21
19  -16.47886869  139.29292671 0 New Windsock 22
