1      773 0 0 YBNY BRUNCHILLY STN
100   24.08   4   0 0.25 0 0 0 9   -18.86881830  134.48872672    0.00    0.00 0  0 0 0 27  -18.87014850  134.50086173    0.00    0.00 0  0 0 0
110   4 0.25   0.00 New Taxiway 4
111 -18.86984796  134.49852069 
112 -18.86964698  134.49855861 -18.86961826  134.49857378 
112 -18.86927372  134.49855861 -18.86920193  134.49855861 
112 -18.86886456  134.49852069 -18.86878560  134.49851310 
112 -18.86869947  134.49827036 -18.86863486  134.49819450 
112 -18.86882150  134.49813382 -18.86893634  134.49809589 
112 -18.86926654  134.49813382 -18.86941728  134.49814899 
112 -18.86951777  134.49824002 -18.86954648  134.49825519 
113 -18.86978336  134.49823243 
14  -18.86929525  134.49874825    6 0 New Tower Viewpoint 12
15  -18.86885021  134.49824002 167.35 New Ramp Start 10
19  -18.86929525  134.49795935 0 New Windsock 11
