1      221 0 0 YBTP BATTLE CAMP STATION
100   49.99   4   0 0.25 0 0 0 8   -15.27555784  144.70194373    0.00    0.00 0  0 0 0 26  -15.27470300  144.71170800    0.00    0.00 0  0 0 0
110   4 0.25   0.00 New Taxiway 42
111 -15.27556580  144.70205566 
112 -15.27572385  144.70184062 -15.27572385  144.70183038 
111 -15.27579300  144.70173823 
112 -15.27538799  144.70173823 -15.27523982  144.70172799 
112 -15.27441006  144.70168703 -15.27436067  144.70167679 
111 -15.27436067  144.70167679 
112 -15.27359018  144.70163583 -15.27342225  144.70159487 
112 -15.27276042  144.70161535 -15.27265176  144.70161535 
112 -15.27208871  144.70158463 -15.27205907  144.70158463 
111 -15.27189115  144.70162559 
111 -15.27190102  144.70155391 
112 -15.27242456  144.70151295 -15.27254310  144.70151295 
112 -15.27310615  144.70151295 -15.27317530  144.70152319 
112 -15.27397543  144.70159487 -15.27407421  144.70159487 
112 -15.27477555  144.70164607 -15.27485458  144.70163583 
112 -15.27577324  144.70167679 -15.27584239  144.70164607 
112 -15.27613873  144.70158463 -15.27623751  144.70156415 
112 -15.27641532  144.70162559 -15.27650422  144.70159487 
112 -15.27697837  144.70167679 -15.27709691  144.70173823 
112 -15.27789703  144.70202494 -15.27800569  144.70205566 
112 -15.27843313  144.70211567 -15.27849027  144.70211567 
112 -15.27871069  144.70212414 -15.27873518  144.70213260 
112 -15.27893111  144.70223415 -15.27894744  144.70230185 
112 -15.27904541  144.70253881 -15.27922501  144.70259805 
112 -15.27940461  144.70266575 -15.27943726  144.70268267 
112 -15.27995168  144.70315847 -15.28009536  144.70325156 
112 -15.28032884  144.70344705 -15.28035578  144.70349359 
111 -15.28119801  144.70409922 
111 -15.28117103  144.70414817 
112 -15.27992960  144.70321797 -15.27982840  144.70309208 
112 -15.27960575  144.70292422 -15.27957202  144.70290324 
112 -15.27932913  144.70274937 -15.27924817  144.70272140 
112 -15.27898504  144.70256053 -15.27891757  144.70248360 
112 -15.27883661  144.70239967 -15.27874890  144.70229476 
112 -15.27868818  144.70228777 -15.27864095  144.70227378 
112 -15.27858697  144.70221783 -15.27855998  144.70221783 
112 -15.27769346  144.70205500 -15.27752061  144.70199720 
112 -15.27690168  144.70176600 -15.27683477  144.70172553 
112 -15.27655040  144.70165617 -15.27650021  144.70165617 
112 -15.27633294  144.70166195 -15.27630506  144.70164461 
112 -15.27619911  144.70163883 -15.27604299  144.70165617 
112 -15.27590917  144.70168507 -15.27587571  144.70170241 
112 -15.27579765  144.70186426 -15.27576419  144.70192206 
114 -15.27559691  144.70218794 -15.27558019  144.70220528 
14  -15.27600396  144.70180646    6 0 New Tower Viewpoint 64
15  -15.27569728  144.70207812   0.00 New Ramp Start 62
19  -15.27505047  144.70206078 0 New Windsock 63
