1      801 0 0 YDRC DAIRY CREEK HS
100   22.86   4   0 0.25 0 0 0 13  -25.26723330  115.86711157    0.00    0.00 0  0 0 0 31  -25.27089581  115.87105118    0.00    0.00 0  0 0 0
100   27.13   4   0 0.25 0 0 0 11  -25.26742823  115.86335627    0.00    0.00 0  0 0 0 29  -25.27054730  115.87161778    0.00    0.00 0  0 0 0
110   4 0.25   0.00 New Taxiway 9
111 -25.27528435  115.86361873 
112 -25.27341747  115.86697526 -25.27291869  115.86795228 
112 -25.27140808  115.87047362 -25.27100905  115.87124578 
112 -25.27011124  115.87356227 -25.26978347  115.87436594 
112 -25.26775895  115.88179486 -25.26739237  115.88274064 
111 -25.26711744  115.88294331 
112 -25.26836992  115.87899131 -25.26873650  115.87733619 
112 -25.26983623  115.87378953 -25.27020281  115.87267486 
112 -25.27086915  115.87099659 -25.27111142  115.87053960 
112 -25.27313191  115.86725437 -25.27349454  115.86653257 
114 -25.27524524  115.86356831 -25.27534967  115.86341264 
14  -25.27064469  115.87141416    6 0 New Tower Viewpoint 12
15  -25.27094490  115.87098786   0.00 New Ramp Start 10
19  -25.27059351  115.87106331 0 New Windsock 11
