1      178 0 0 YINN Innamincka
100   49.99   4   0 1.00 0 0 0 13  -27.69796351  140.73325353    0.00    0.00 0  0 0 0 31  -27.70332600  140.73915200    0.00    0.00 0  0 0 0
100   78.94   4   0 1.00 0 0 0 02  -27.69178355  140.74362407    0.00    0.00 2  0 0 0 20  -27.70260077  140.73624060    0.00    0.00 2  0 0 0
110   4 0.25   0.00 New Taxiway 39
111 -27.69810002  140.73312316 
112 -27.69967950  140.73340858 -27.69991116  140.73347993 
112 -27.70060613  140.73367021 -27.70094308  140.73381292 
112 -27.70203819  140.73428862 -27.70222772  140.73435997 
112 -27.70290163  140.73466917 -27.70307011  140.73481188 
112 -27.70380720  140.73526379 -27.70399674  140.73557300 
112 -27.70464959  140.73669088 -27.70481807  140.73685737 
112 -27.70559727  140.73773741 -27.70612377  140.73823689 
112 -27.70534456  140.73923585 -27.70513396  140.73961641 
112 -27.70458641  140.73973533 -27.70439687  140.73975912 
112 -27.70382826  140.73992561 -27.70378614  140.73992561 
112 -27.70000766  140.74172172 -27.69950311  140.74194331 
112 -27.69798947  140.74267140 -27.69773719  140.74276637 
112 -27.69672810  140.74308293 -27.69627961  140.74327286 
112 -27.69529854  140.74365273 -27.69501824  140.74374770 
112 -27.69400914  140.74403261 -27.69350459  140.74406426 
112 -27.69218716  140.74422254 -27.69210307  140.74422254 
112 -27.69201898  140.74409592 -27.69207504  140.74387433 
111 -27.69221519  140.74374770 
113 -27.70154933  140.73713161 
14  -27.70397553  140.73776525    6 0 New Tower Viewpoint 46
15  -27.70322712  140.73794216   0.00 New Ramp Start 45
19  -27.70308789  140.73723451 0 New Windsock 44
51 12670 CTAF
