1      820 0 0 YITT Mitta Mitta
100   17.98   4   0 1.00 0 0 0 14  -36.51091009  147.35934994    0.00    0.00 0  0 0 0 32  -36.51811575  147.36477246    0.00    0.00 0  0 0 0
110   3 0.25  80.27 New Taxiway 41
111 -36.51046152  147.36043394 
112 -36.51116775  147.35751270 -36.51118610  147.35743282 
112 -36.51130533  147.35755834 -36.51131450  147.35756975 
112 -36.51244263  147.35827724 -36.51264441  147.35835712 
112 -36.51331396  147.35866522 -36.51345153  147.35868804 
112 -36.51456132  147.35907602 -36.51476310  147.35917872 
112 -36.51517583  147.35933847 -36.51534092  147.35942976 
112 -36.51766556  147.36053607 -36.51798740  147.36096412 
112 -36.51839802  147.36159929 -36.51869766  147.36175118 
112 -36.51905280  147.36209638 -36.51917487  147.36257966 
112 -36.51917487  147.36593502 -36.51916378  147.36594883 
111 -36.51887523  147.36578313 
111 -36.51448047  147.36241397 
111 -36.51261818  147.36113364 
111 -36.51156388  147.36071942 
113 -36.51064276  147.36034662 
14  -36.51089997  147.36032470    6 0 New Tower Viewpoint 30
15  -36.51119765  147.36005666 245.25 New Ramp Start 28
19  -36.51075449  147.36013838 0 New Windsock 29
51 12670 CTAF
