1      280 0 0 YMOO Mooraberree
100   86.87   4   0 1.00 0 0 0 05  -25.24545524  140.97134633    0.00    0.00 2  0 0 0 23  -25.23895674  140.98786233    0.00    0.00 2  0 0 0
100   71.93   4   0 1.00 0 0 0 14  -25.23665174  140.98502276    0.00    0.00 2  0 0 0 32  -25.24536316  140.99092461    0.00    0.00 2  0 0 0
110   4 0.25 148.50 New Taxiway 51
111 -25.23671849  140.98534708 
111 -25.24527682  140.99084309 
112 -25.24539032  140.99104386 -25.24518601  140.99137010 
112 -25.24514061  140.99134501 -25.24504981  140.99142029 
112 -25.24425527  140.99162106 -25.24384665  140.99167125 
112 -25.24293860  140.99139520 -25.24252998  140.99124462 
112 -25.24205326  140.99064232 -25.24175814  140.99036627 
112 -25.24103171  140.98963848 -25.24094090  140.98956319 
112 -25.23971504  140.98876012 -25.23944263  140.98858445 
112 -25.23873889  140.98785667 -25.23864809  140.98768100 
113 -25.23660499  140.98549765 
14  -25.23971411  140.98885827    6 0 New Tower Viewpoint 39
15  -25.24065762  140.98896431 271.71 New Ramp Start 37
19  -25.24023565  140.98879594 0 New Windsock 38
51 12670 CTAF
