1      560 0 0 YPJN PANTIJAN
100   21.95   4   0 0.25 0 0 0 2   -15.97047395  125.04972819    0.00    0.00 0  0 0 0 20  -15.96071714  125.05441244    0.00    0.00 0  0 0 0
110   3 0.25   0.00 New Taxiway 68
111 -15.96455200  125.05259963 
112 -15.96443080  125.05293579 -15.96432307  125.05313188 
112 -15.96374400  125.05353807 -15.96347467  125.05373416 
112 -15.96298988  125.05416836 -15.96277441  125.05428041 
112 -15.96224921  125.05485468 -15.96210108  125.05499474 
112 -15.96150855  125.05537291 -15.96133349  125.05537291 
112 -15.96113149  125.05528888 -15.96111802  125.05528888 
113 -15.96075442  125.05444849 
14  -15.96220881  125.05307585    6 0 New Tower Viewpoint 57
15  -15.96292254  125.05388823   0.00 New Ramp Start 55
19  -15.96266668  125.05287976 0 New Windsock 56
