1       91 0 0 YSER Starcke
100   49.99   3   0 1.00 0 0 0 03  -14.83329613  144.94677093    0.00    0.00 0  0 0 0 21  -14.82377200  144.95297522    0.00    0.00 0  0 0 0
110   3 1.00  32.20 New Taxiway 2
111 -14.83313594  144.94661598 
112 -14.83343870  144.94634194 -14.83352385  144.94628322 
112 -14.83387391  144.94619514 -14.83417667  144.94614620 
112 -14.83450781  144.94619514 -14.83467811  144.94619514 
112 -14.83482949  144.94640066 -14.83468757  144.94667470 
112 -14.83405367  144.94675300 -14.83382661  144.94688023 
112 -14.83352385  144.94696832 -14.83346708  144.94699768 
113 -14.83328732  144.94700746 
110   3 1.00  32.20 New Taxiway 1
111 -14.82386793  144.95266414 
112 -14.82397626  144.95309893 -14.82397626  144.95311469 
112 -14.82383913  144.95339840 -14.82380865  144.95350873 
112 -14.82365628  144.95412344 -14.82350391  144.95423378 
112 -14.82324487  144.95399735 -14.82318392  144.95388702 
112 -14.82295536  144.95341416 -14.82295536  144.95330383 
112 -14.82324487  144.95292555 -14.82338201  144.95276793 
113 -14.82379342  144.95267336 
14  -14.82332916  144.95273023    6 0 New Tower Viewpoint 11
15  -14.82372026  144.95369406 271.91 New Ramp Start 10
19  -14.82468653  144.95181400 0 New Windsock 12
