1      770 0 0 YTUG TRUGANINNIE
100   22.86   4   0 0.25 0 0 0 8   -24.49382768  149.20765049    0.00    0.00 0  0 0 0 26  -24.49290530  149.21947358    0.00    0.00 0  0 0 0
110   4 0.25   0.00 New Taxiway 26
111 -24.49363811  149.21062613 
112 -24.49377580  149.21124646 -24.49375515  149.21162471 
112 -24.49365188  149.21264599 -24.49363123  149.21296372 
112 -24.49352108  149.21396987 -24.49341782  149.21408334 
113 -24.49332832  149.21449185 
110   4 0.25  85.10 New Taxiway 25
112 -24.49300908  149.21947708 -24.49300150  149.21950205 
112 -24.49286919  149.21950356 -24.49277075  149.21949524 
112 -24.49272531  149.21939539 -24.49266473  149.21932049 
112 -24.49273288  149.21908749 -24.49277832  149.21887114 
113 -24.49292978  149.21872967 
110   4 0.25  85.10 New Taxiway 24
111 -24.49363025  149.20956765 
112 -24.49350829  149.20864171 -24.49353047  149.20830057 
112 -24.49357482  149.20783760 -24.49357482  149.20777669 
112 -24.49365243  149.20754520 -24.49374113  149.20754520 
114 -24.49391352  149.20771240 -24.49391352  149.20786370 
14  -24.49441605  149.21236608    6 0 New Tower Viewpoint 55
15  -24.49367254  149.21174575  87.71 New Ramp Start 53
19  -24.49303918  149.21392448 0 New Windsock 54
