1        5 0 0 YWGI WEDGE ISLAND
100   18.90   4   0 0.25 0 0 0 8   -35.15078039  136.45379599    0.00    0.00 0  0 0 0 26  -35.15033409  136.46423127    0.00    0.00 0  0 0 0
110   4 0.25   0.00 New Taxiway 14
111 -35.15042531  136.46271547 
112 -35.15051767  136.46278087 -35.15054684  136.46280465 
112 -35.15068781  136.46306029 -35.15077531  136.46327431 
112 -35.15066351  136.46361912 -35.15062948  136.46371425 
112 -35.15046906  136.46407095 -35.15043503  136.46414229 
112 -35.15042531  136.46441577 -35.15042045  136.46449900 
112 -35.15029406  136.46441577 -35.15025031  136.46437415 
112 -35.15013365  136.46430281 -35.15008990  136.46427309 
112 -35.15011906  136.46388665 -35.15011906  136.46377370 
112 -35.15020170  136.46358940 -35.15027948  136.46348239 
113 -35.15031351  136.46339321 
110   4 0.25   0.00 New Taxiway 13
111 -35.15073384  136.45445254 
112 -35.15065737  136.45440218 -35.15061032  136.45440218 
112 -35.15048679  136.45412882 -35.15046915  136.45403531 
112 -35.15052797  136.45397057 -35.15056914  136.45391302 
111 -35.15055150  136.45378353 
111 -35.15079265  136.45379073 
112 -35.15084559  136.45385547 -35.15087500  136.45387705 
111 -35.15094558  136.45389863 
112 -35.15096323  136.45438779 -35.15095735  136.45442376 
113 -35.15080442  136.45446692 
14  -35.15018712  136.46176425    6 0 New Tower Viewpoint 27
15  -35.15056628  136.46363101 277.59 New Ramp Start 25
19  -35.15017740  136.46221014 0 New Windsock 26
